# m n lo up gens time_s logN
# m n lo up gens time_s logN
370 239 1 1 0 0.29300000000000000000000000000000000000 -0.37644883846533770094020184482278254697
371 74 1 1 1 0.023000000000000000000000000000000000000 4.0913987252302878919076312920082350565
371 80 0 0 0 0.019000000000000000000000000000000000000 3.7619255383314349653577876914579955181
371 162 1 1 1 0.14900000000000000000000000000000000000 -0.62860054219357430318157161251099971805
371 188 0 0 0 0.015000000000000000000000000000000000000 -0.0049724855038919531100190890355310516950
371 218 0 0 0 0.022000000000000000000000000000000000000 -0.13487404612369841103909629506393504607
371 292 1 1 0 0.37300000000000000000000000000000000000 -1.3147682569955658127693532701220554232
371 332 0 0 0 0.077000000000000000000000000000000000000 -2.6207943920632482946740903951165030774
371 334 1 1 0 0.38000000000000000000000000000000000000 -2.7165945030771240373747038727300478000
372 43 1 1 1 0.018000000000000000000000000000000000000 6.1966937291859508926658798158056007364
372 211 1 1 1 0.020000000000000000000000000000000000000 -0.073579856804118855735057120329207006005
372 239 0 0 0 0.013000000000000000000000000000000000000 -0.35967933569677148588036776651368160931
373 222 1 1 0 0.33700000000000000000000000000000000000 -0.16104298198234688377824996337827158843
374 3 0 0 0 0.015000000000000000000000000000000000000 15.561435633550643688490473939045674093
374 73 0 0 0 0.015000000000000000000000000000000000000 4.1809985607594874548197110531174419980
374 127 1 1 0 0.41800000000000000000000000000000000000 1.3497903860132914232661798979965000523
374 271 0 0 0 0.016000000000000000000000000000000000000 -0.83247355825850089246732463194627352599
374 283 1 1 0 0.36100000000000000000000000000000000000 -1.0644119584274680154380451750273781740
374 367 1 1 1 0.019000000000000000000000000000000000000 -5.6907958361419926694141252656370826690
376 75 2 2 2 0.022000000000000000000000000000000000000 4.0912494070481900502915096991494378677
376 77 0 0 0 0.074000000000000000000000000000000000000 3.9813070611589530822317728643706771680
376 145 2 2 2 0.060000000000000000000000000000000000000 0.053386806883760234314157614874881591710
