# m  n  q  status  scan_window  n_hits
69 58 1397/8004 CLOSED_RANK1 12 0
69 62 917/8556 CLOSED_RANK1 12 0
70 23 4371/3220 CLOSED_RANK1 12 0
70 27 4171/3780 CLOSED_RANK1 12 0
70 31 3939/4340 HARD_NO_GEN_R1_HIGHCOND 0 0
70 41 3219/5740 CLOSED_RANK1 12 0
70 47 2691/6580 CLOSED_RANK1 12 0
70 51 2299/7140 CLOSED_RANK1 12 0
70 67 411/9380 CLOSED_RANK1 12 0
71 6 5005/852 CLOSED_RANK1 12 0
71 8 4977/1136 CLOSED_RANK1 12 0
71 12 4897/1704 CLOSED_RANK1 12 0
71 14 4845/1988 CLOSED_RANK1 12 0
71 26 4365/3692 CLOSED_RANK1 12 0
71 28 4257/3976 HARD_NO_GEN_R1_HIGHCOND 0 0
71 30 4141/4260 HARD_NO_GEN_R1_HIGHCOND 0 0
71 32 4017/4544 CLOSED_RANK1 12 0
71 34 3885/4828 CLOSED_RANK1 12 0
71 36 3745/5112 HARD_NO_GEN_R1_HIGHCOND 0 0
71 40 3441/5680 CLOSED_RANK1 12 0
71 42 3277/5964 HARD_NO_GEN_R1_HIGHCOND 0 0
71 46 2925/6532 CLOSED_RANK1 12 0
71 48 2737/6816 CLOSED_RANK1 12 0
71 58 1677/8236 CLOSED_RANK1 12 0
71 60 1441/8520 CLOSED_RANK1 12 0
71 64 945/9088 CLOSED_RANK1 12 0
71 70 141/9940 CLOSED_RANK1 12 0
72 7 5135/1008 CLOSED_RANK1 12 0
72 11 5063/1584 CLOSED_RANK1 12 0
72 13 5015/1872 CLOSED_RANK1 12 0
72 19 4823/2736 CLOSED_RANK1 12 0
72 23 4655/3312 CLOSED_RANK1 12 0
72 29 4343/4176 CLOSED_RANK1 12 0
72 31 4223/4464 CLOSED_RANK1 12 0
72 35 3959/5040 CLOSED_RANK1 12 0
72 41 3503/5904 CLOSED_RANK1 12 0
72 43 3335/6192 CLOSED_RANK1 12 0
72 49 2783/7056 CLOSED_RANK1 12 0
72 55 2159/7920 CLOSED_RANK1 12 0
72 59 1703/8496 CLOSED_RANK1 12 0
72 71 143/10224 CLOSED_RANK1 12 0
73 2 5325/292 CLOSED_RANK1 12 0
73 4 5313/584 CLOSED_RANK1 12 0
73 6 5293/876 CLOSED_RANK1 12 0
73 16 5073/2336 CLOSED_RANK1 12 0
73 22 4845/3212 CLOSED_RANK1 12 0
73 32 4305/4672 CLOSED_RANK1 12 0
73 40 3729/5840 HARD_NO_GEN_R1_HIGHCOND 0 0
73 42 3565/6132 CLOSED_RANK1 12 0
73 44 3393/6424 CLOSED_RANK1 12 0
73 48 3025/7008 CLOSED_RANK1 12 0
73 50 2829/7300 CLOSED_RANK1 12 0
73 52 2625/7592 CLOSED_RANK1 12 0
73 54 2413/7884 HARD_NO_GEN_R1_HIGHCOND 0 0
73 56 2193/8176 CLOSED_RANK1 12 0
73 60 1729/8760 CLOSED_RANK1 12 0
73 64 1233/9344 CLOSED_RANK1 12 0
73 70 429/10220 CLOSED_RANK1 12 0
74 3 5467/444 CLOSED_RANK1 12 0
74 9 5395/1332 CLOSED_RANK1 12 0
74 11 5355/1628 CLOSED_RANK1 12 0
74 17 5187/2516 CLOSED_RANK1 12 0
74 19 5115/2812 CLOSED_RANK1 12 0
74 21 5035/3108 CLOSED_RANK1 12 0
74 23 4947/3404 CLOSED_RANK1 12 0
74 25 4851/3700 CLOSED_RANK1 12 0
74 29 4635/4292 CLOSED_RANK1 12 0
74 41 3795/6068 CLOSED_RANK1 12 0
74 53 2667/7844 CLOSED_RANK1 12 0
74 59 1995/8732 CLOSED_RANK1 12 0
74 61 1755/9028 CLOSED_RANK1 12 0
74 63 1507/9324 HARD_NO_GEN_R1_HIGHCOND 0 0
74 67 987/9916 CLOSED_RANK1 12 0
74 71 435/10508 CLOSED_RANK1 12 0
74 73 147/10804 HARD_NO_GEN_R1_HIGHCOND 0 0
75 4 5609/600 CLOSED_RANK1 12 0
75 28 4841/4200 CLOSED_RANK1 12 0
75 32 4601/4800 CLOSED_RANK1 12 0
75 52 2921/7800 CLOSED_RANK1 12 0
75 56 2489/8400 CLOSED_RANK1 12 0
