# m  n  q  status  tors_order  n_hits
63 44 2033/5544 CLOSED_RANK0 8 0
63 50 1469/6300 CLOSED_RANK0 8 0
63 58 605/7308 CLOSED_RANK0 8 0
63 62 125/7812 CLOSED_RANK0 8 0
64 3 4087/384 CLOSED_RANK0 8 0
64 5 4071/640 CLOSED_RANK0 8 0
64 13 3927/1664 CLOSED_RANK0 8 0
64 15 3871/1920 CLOSED_RANK0 8 0
64 23 3567/2944 CLOSED_RANK0 8 0
64 29 3255/3712 CLOSED_RANK0 8 0
64 31 3135/3968 CLOSED_RANK0 8 0
64 35 2871/4480 CLOSED_RANK0 8 0
64 43 2247/5504 CLOSED_RANK0 8 0
64 45 2071/5760 CLOSED_RANK0 8 0
64 47 1887/6016 CLOSED_RANK0 8 0
64 51 1495/6528 CLOSED_RANK0 8 0
64 57 847/7296 CLOSED_RANK0 8 0
64 59 615/7552 CLOSED_RANK0 8 0
64 61 375/7808 CLOSED_RANK0 8 0
64 63 127/8064 CLOSED_RANK0 8 0
65 8 4161/1040 CLOSED_RANK0 8 0
65 14 4029/1820 CLOSED_RANK0 8 0
65 18 3901/2340 CLOSED_RANK0 8 0
65 46 2109/5980 CLOSED_RANK0 8 0
66 5 4331/660 CLOSED_RANK0 8 0
66 17 4067/2244 CLOSED_RANK0 8 0
66 19 3995/2508 CLOSED_RANK0 8 0
66 25 3731/3300 CLOSED_RANK0 8 0
66 47 2147/6204 CLOSED_RANK0 8 0
66 49 1955/6468 CLOSED_RANK0 8 0
66 59 875/7788 CLOSED_RANK0 8 0
67 2 4485/268 CLOSED_RANK0 8 0
67 10 4389/1340 CLOSED_RANK0 8 0
67 14 4293/1876 CLOSED_RANK0 8 0
67 18 4165/2412 CLOSED_RANK0 8 0
67 22 4005/2948 CLOSED_RANK0 8 0
67 24 3913/3216 CLOSED_RANK0 8 0
67 30 3589/4020 CLOSED_RANK0 8 0
67 34 3333/4556 CLOSED_RANK0 8 0
67 36 3193/4824 CLOSED_RANK0 8 0
67 38 3045/5092 CLOSED_RANK0 8 0
67 46 2373/6164 CLOSED_RANK0 8 0
67 50 1989/6700 CLOSED_RANK0 8 0
67 52 1785/6968 CLOSED_RANK0 8 0
67 54 1573/7236 CLOSED_RANK0 8 0
67 64 393/8576 CLOSED_RANK0 8 0
68 3 4615/408 CLOSED_RANK0 8 0
68 35 3399/4760 CLOSED_RANK0 8 0
68 47 2415/6392 CLOSED_RANK0 8 0
68 49 2223/6664 CLOSED_RANK0 8 0
68 55 1599/7480 CLOSED_RANK0 8 0
68 63 655/8568 CLOSED_RANK0 8 0
68 65 399/8840 CLOSED_RANK0 8 0
69 2 4757/276 CLOSED_RANK0 8 0
69 4 4745/552 CLOSED_RANK0 8 0
69 34 3605/4692 CLOSED_RANK0 8 0
69 50 2261/6900 CLOSED_RANK0 8 0
69 56 1625/7728 CLOSED_RANK0 8 0
69 64 665/8832 CLOSED_RANK0 8 0
69 68 137/9384 CLOSED_RANK0 8 0
70 1 4899/140 CLOSED_RANK0 8 0
70 3 4891/420 CLOSED_RANK0 8 0
70 9 4819/1260 CLOSED_RANK0 8 0
70 11 4779/1540 CLOSED_RANK0 8 0
70 13 4731/1820 CLOSED_RANK0 8 0
70 17 4611/2380 CLOSED_RANK0 8 0
70 39 3379/5460 CLOSED_RANK0 8 0
70 53 2091/7420 CLOSED_RANK0 8 0
70 57 1651/7980 CLOSED_RANK0 8 0
70 59 1419/8260 CLOSED_RANK0 8 0
70 61 1179/8540 CLOSED_RANK0 8 0
71 2 5037/284 CLOSED_RANK0 8 0
71 4 5025/568 CLOSED_RANK0 8 0
71 10 4941/1420 CLOSED_RANK0 8 0
71 16 4785/2272 CLOSED_RANK0 8 0
71 18 4717/2556 CLOSED_RANK0 8 0
71 20 4641/2840 CLOSED_RANK0 8 0
71 22 4557/3124 CLOSED_RANK0 8 0
71 24 4465/3408 CLOSED_RANK0 8 0
71 38 3597/5396 CLOSED_RANK0 8 0
71 52 2337/7384 CLOSED_RANK0 8 0
71 56 1905/7952 CLOSED_RANK0 8 0
71 62 1197/8804 CLOSED_RANK0 8 0
71 66 685/9372 CLOSED_RANK0 8 0
71 68 417/9656 CLOSED_RANK0 8 0
72 1 5183/144 CLOSED_RANK0 8 0
72 5 5159/720 CLOSED_RANK0 8 0
72 17 4895/2448 CLOSED_RANK0 8 0
72 47 2975/6768 CLOSED_RANK0 8 0
72 53 2375/7632 CLOSED_RANK0 8 0
72 65 959/9360 CLOSED_RANK0 8 0
72 67 695/9648 CLOSED_RANK0 8 0
73 8 5265/1168 CLOSED_RANK0 8 0
73 10 5229/1460 CLOSED_RANK0 8 0
73 18 5005/2628 CLOSED_RANK0 8 0
73 26 4653/3796 CLOSED_RANK0 8 0
73 28 4545/4088 CLOSED_RANK0 8 0
73 30 4429/4380 CLOSED_RANK0 8 0
73 34 4173/4964 CLOSED_RANK0 8 0
73 36 4033/5256 CLOSED_RANK0 8 0
73 46 3213/6716 CLOSED_RANK0 8 0
73 58 1965/8468 CLOSED_RANK0 8 0
73 66 973/9636 CLOSED_RANK0 8 0
73 68 705/9928 CLOSED_RANK0 8 0
73 72 145/10512 CLOSED_RANK0 8 0
74 1 5475/148 CLOSED_RANK0 8 0
74 5 5451/740 CLOSED_RANK0 8 0
74 7 5427/1036 CLOSED_RANK0 8 0
74 15 5251/2220 CLOSED_RANK0 8 0
74 31 4515/4588 CLOSED_RANK0 8 0
74 35 4251/5180 CLOSED_RANK0 8 0
74 39 3955/5772 CLOSED_RANK0 8 0
74 43 3627/6364 CLOSED_RANK0 8 0
74 45 3451/6660 CLOSED_RANK0 8 0
74 47 3267/6956 CLOSED_RANK0 8 0
74 49 3075/7252 CLOSED_RANK0 8 0
74 51 2875/7548 CLOSED_RANK0 8 0
74 57 2227/8436 CLOSED_RANK0 8 0
74 65 1251/9620 CLOSED_RANK0 8 0
74 69 715/10212 CLOSED_RANK0 8 0
75 2 5621/300 CLOSED_RANK0 8 0
75 14 5429/2100 CLOSED_RANK0 8 0
75 16 5369/2400 CLOSED_RANK0 8 0
75 22 5141/3300 CLOSED_RANK0 8 0
75 34 4469/5100 CLOSED_RANK0 8 0
75 38 4181/5700 CLOSED_RANK0 8 0
75 58 2261/8700 CLOSED_RANK0 8 0
76 9 5695/1368 CLOSED_RANK0 8 0
76 11 5655/1672 CLOSED_RANK0 8 0
76 17 5487/2584 CLOSED_RANK0 8 0
76 25 5151/3800 CLOSED_RANK0 8 0
76 31 4815/4712 CLOSED_RANK0 8 0
76 41 4095/6232 CLOSED_RANK0 8 0
76 45 3751/6840 CLOSED_RANK0 8 0
76 47 3567/7144 CLOSED_RANK0 8 0
76 49 3375/7448 CLOSED_RANK0 8 0
76 53 2967/8056 CLOSED_RANK0 8 0
76 61 2055/9272 CLOSED_RANK0 8 0
76 67 1287/10184 CLOSED_RANK0 8 0
76 73 447/11096 CLOSED_RANK0 8 0
76 75 151/11400 CLOSED_RANK0 8 0
77 8 5865/1232 CLOSED_RANK0 8 0
77 12 5785/1848 CLOSED_RANK0 8 0
77 32 4905/4928 CLOSED_RANK0 8 0
77 34 4773/5236 CLOSED_RANK0 8 0
77 36 4633/5544 CLOSED_RANK0 8 0
77 40 4329/6160 CLOSED_RANK0 8 0
77 50 3429/7700 CLOSED_RANK0 8 0
77 52 3225/8008 CLOSED_RANK0 8 0
77 58 2565/8932 CLOSED_RANK0 8 0
77 60 2329/9240 CLOSED_RANK0 8 0
78 29 5243/4524 CLOSED_RANK0 8 0
78 31 5123/4836 CLOSED_RANK0 8 0
78 41 4403/6396 CLOSED_RANK0 8 0
78 55 3059/8580 CLOSED_RANK0 8 0
78 71 1043/11076 CLOSED_RANK0 8 0
79 2 6237/316 CLOSED_RANK0 8 0
79 4 6225/632 CLOSED_RANK0 8 0
79 6 6205/948 CLOSED_RANK0 8 0
79 14 6045/2212 CLOSED_RANK0 8 0
79 20 5841/3160 CLOSED_RANK0 8 0
79 28 5457/4424 CLOSED_RANK0 8 0
79 34 5085/5372 CLOSED_RANK0 8 0
79 42 4477/6636 CLOSED_RANK0 8 0
79 46 4125/7268 CLOSED_RANK0 8 0
79 50 3741/7900 CLOSED_RANK0 8 0
79 56 3105/8848 CLOSED_RANK0 8 0
79 62 2397/9796 CLOSED_RANK0 8 0
79 72 1057/11376 CLOSED_RANK0 8 0
79 76 465/12008 CLOSED_RANK0 8 0
80 3 6391/480 CLOSED_RANK0 8 0
80 7 6351/1120 CLOSED_RANK0 8 0
80 9 6319/1440 CLOSED_RANK0 8 0
80 11 6279/1760 CLOSED_RANK0 8 0
80 13 6231/2080 CLOSED_RANK0 8 0
80 19 6039/3040 CLOSED_RANK0 8 0
80 23 5871/3680 CLOSED_RANK0 8 0
80 37 5031/5920 CLOSED_RANK0 8 0
80 47 4191/7520 CLOSED_RANK0 8 0
80 53 3591/8480 CLOSED_RANK0 8 0
80 61 2679/9760 CLOSED_RANK0 8 0
80 71 1359/11360 CLOSED_RANK0 8 0
80 79 159/12640 CLOSED_RANK0 8 0
81 2 6557/324 CLOSED_RANK0 8 0
81 8 6497/1296 CLOSED_RANK0 8 0
81 14 6365/2268 CLOSED_RANK0 8 0
81 26 5885/4212 CLOSED_RANK0 8 0
81 32 5537/5184 CLOSED_RANK0 8 0
81 40 4961/6480 CLOSED_RANK0 8 0
81 52 3857/8424 CLOSED_RANK0 8 0
81 58 3197/9396 CLOSED_RANK0 8 0
81 68 1937/11016 CLOSED_RANK0 8 0
81 74 1085/11988 CLOSED_RANK0 8 0
81 76 785/12312 CLOSED_RANK0 8 0
82 3 6715/492 CLOSED_RANK0 8 0
82 5 6699/820 CLOSED_RANK0 8 0
82 7 6675/1148 CLOSED_RANK0 8 0
82 15 6499/2460 CLOSED_RANK0 8 0
82 29 5883/4756 CLOSED_RANK0 8 0
82 35 5499/5740 CLOSED_RANK0 8 0
82 39 5203/6396 CLOSED_RANK0 8 0
82 43 4875/7052 CLOSED_RANK0 8 0
82 51 4123/8364 CLOSED_RANK0 8 0
82 57 3475/9348 CLOSED_RANK0 8 0
82 59 3243/9676 CLOSED_RANK0 8 0
82 67 2235/10988 CLOSED_RANK0 8 0
82 69 1963/11316 CLOSED_RANK0 8 0
82 71 1683/11644 CLOSED_RANK0 8 0
82 73 1395/11972 CLOSED_RANK0 8 0
82 75 1099/12300 CLOSED_RANK0 8 0
82 79 483/12956 CLOSED_RANK0 8 0
83 2 6885/332 CLOSED_RANK0 8 0
83 14 6693/2324 CLOSED_RANK0 8 0
83 20 6489/3320 CLOSED_RANK0 8 0
83 22 6405/3652 CLOSED_RANK0 8 0
83 24 6313/3984 CLOSED_RANK0 8 0
83 32 5865/5312 CLOSED_RANK0 8 0
83 40 5289/6640 CLOSED_RANK0 8 0
83 44 4953/7304 CLOSED_RANK0 8 0
83 46 4773/7636 CLOSED_RANK0 8 0
