# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
51 2 1 53 49 1 2 1 5 5 5 102 2605 2597 1 1 0 0 2 3 2 2 1 2 1 R1
51 4 1 55 47 1 1 3 1 7 7 204 2617 2585 0 1 0 0 1 3 0 2 1 2 2 R1
51 8 1 59 43 1 2 3 5 11 11 408 2665 2537 1 1 0 0 2 3 0 2 1 2 3 R1
51 10 1 61 41 1 1 1 1 1 13 510 2701 2501 1 1 0 0 1 3 2 2 2 2 2 R1
51 14 1 65 37 1 2 1 5 5 17 714 2797 2405 0 1 0 0 2 3 2 2 2 2 2 R1
51 16 1 67 35 1 1 3 1 7 19 816 2857 2345 1 1 0 0 1 3 0 2 1 2 4 R1
51 22 1 73 29 1 1 1 1 1 1 1122 3085 2117 1 1 0 0 1 3 2 2 2 2 2 R1
51 26 1 77 25 1 2 1 5 5 5 1326 3277 1925 0 1 0 0 2 3 2 2 2 2 2 R1
51 32 1 83 19 1 2 3 5 11 11 1632 3625 1577 1 1 0 0 2 3 0 2 1 2 5 R1
51 40 1 91 11 1 1 3 1 7 19 2040 4201 1001 0 1 0 0 1 3 0 2 2 2 4 R1
51 44 1 95 7 1 2 3 5 11 23 2244 4537 665 0 1 0 0 2 3 0 2 2 2 3 R1
51 46 1 97 5 1 1 1 1 1 1 2346 4717 485 1 1 0 0 1 3 2 2 2 2 2 R1
51 50 1 101 1 1 2 1 5 5 5 2550 5101 101 1 1 0 0 2 3 2 2 2 2 3 R1
52 5 1 57 47 1 0 1 3 9 9 260 2729 2679 0 0 1 1 2 0 1 2 1 3 1 R1
