# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
99 16 9545/3168 51072172505970 CLOSED 47 4.9097511933179729769483827819752048490 10587.444278473045153201427400452789273 0 2
99 32 8777/6336 21370195521906 CLOSED 46 5.1396929417796801565362454094651139350 10433.213787531856470676155616213457266 0 2
99 56 6665/11088 241785816950370 CLOSED 45 5.5555382517269341669786828610957457470 10862.802316770714806062827294638939211 0 2
99 64 5705/12672 48208099440270 CLOSED 47 4.8954530482490567348895474732900616206 10808.374907348180156453050646286703109 0 2
99 70 4901/13860 4305166310445 CLOSED 35 9.1459720739031206438560930545019579921 10638.493506694003173516674545126674407 0 2
99 92 1337/18216 669827991382242 CLOSED 31 12.169941120819507911968843105589600714 11361.848692802132541111590641181765305 0 2
99 94 965/18612 517078092077085 CLOSED 34 10.291251926019200275930059259563701484 11353.170953125161359432245300849709022 0 2
100 21 9559/4200 13455805437690 CLOSED 40 6.7744668652133928206972162560208192248 10455.233894441562812487832416254291497 0 2
100 23 9471/4600 149302391845530 CLOSED 35 9.2083322606474634459388491304287584345 10688.491305855290584251645063900587064 0 2
100 49 7599/9800 20370365204070 CLOSED 40 6.6115782332407642777409826330117091412 10516.620359180162805869316626248498130 0 2
100 89 2079/17800 64250526072810 CLOSED 50 4.6182109135170979514825649816374000620 11108.944091781542640127319332744552949 0 2
100 93 1351/18600 432381285507570 CLOSED 34 9.8090238270929183552063682157194356958 11334.766379785753144140015701744659772 0 2
