# m n lo up gens time_s logN
1444 943 0 2 0 0.40200000000000000000000000000000000000 23.409171094221041496172112406464139927
1006 471 0 2 0 0.30900000000000000000000000000000000000 22.709496680689846273905114079170864409
1006 473 0 0 0 0.046000000000000000000000000000000000000 22.726839164661716283087174398796918911
1445 172 1 1 0 0.26900000000000000000000000000000000000 21.933340541891730210566077600360638989
1006 485 0 2 0 0.37900000000000000000000000000000000000 22.820188296928084624672699090749209927
1446 1193 1 1 0 0.29800000000000000000000000000000000000 24.819439783498985681065771357619189670
1454 637 0 0 0 0.13500000000000000000000000000000000000 22.763202769438772201317085891763891316
1006 499 1 3 0 0.38200000000000000000000000000000000000 21.797444177942340717378243214888819156
1456 653 1 1 0 0.26500000000000000000000000000000000000 23.177565325798798706292852459323302893
1006 501 0 0 0 0.15900000000000000000000000000000000000 20.586746489896582000642087141640780334
1006 513 0 0 0 0.038000000000000000000000000000000000000 21.189648733165225120925830673801895984
1460 773 1 1 0 0.30200000000000000000000000000000000000 24.375319815873150442650973222385740669
1006 523 0 2 0 0.31600000000000000000000000000000000000 23.038077286634649055154366219591510302
1462 331 0 0 0 0.15200000000000000000000000000000000000 22.830884506595407764211695632460288889
1006 539 1 1 0 0.20700000000000000000000000000000000000 22.262868122899850472767546296149843126
