# m n lo up gens time_s logN
337 124 0 0 0 0.031000000000000000000000000000000000000 18.736480184117350910224536653576179885
337 128 0 0 0 0.12600000000000000000000000000000000000 17.117737578122612217384437349500041040
337 216 0 0 0 0.13500000000000000000000000000000000000 17.313066441437435126807901350267760683
337 218 1 1 1 0.17400000000000000000000000000000000000 19.621107776848797119799255384884234840
382 83 0 2 0 0.55800000000000000000000000000000000000 19.528200848348324087468705975866065644
337 226 1 1 0 0.45400000000000000000000000000000000000 19.662034599477860963895106587452065726
382 151 1 1 0 0.44800000000000000000000000000000000000 18.817619965822742105279778886436088038
382 173 2 2 1 0.54100000000000000000000000000000000000 19.187160755808874802259646420096860638
337 272 0 2 0 0.75300000000000000000000000000000000000 19.162361568498498201696961252001354591
338 19 1 1 1 0.039000000000000000000000000000000000000 16.194786209660502185189718844991886281
382 179 1 1 0 0.30900000000000000000000000000000000000 19.348717076501286631227499347641540048
338 47 0 0 0 0.13800000000000000000000000000000000000 17.897690343548297000338914502357196702
338 53 2 2 2 0.036000000000000000000000000000000000000 17.086798448944016027236284022388640438
382 227 1 1 1 0.10800000000000000000000000000000000000 19.937664553256444827084153989129612819
382 263 2 2 2 0.050000000000000000000000000000000000000 20.123692503854149133005602293995441791
382 283 1 1 1 0.22100000000000000000000000000000000000 19.701658289117023917598376028450819944
382 359 0 0 0 0.053000000000000000000000000000000000000 19.942369353074701379035300820355084631
338 107 2 2 1 0.63400000000000000000000000000000000000 17.882424899433719621694298691451508508
338 173 2 2 2 0.049000000000000000000000000000000000000 18.095315242680990198851434683625384521
338 223 0 0 0 0.11200000000000000000000000000000000000 18.540551800702215383815186001773045877
383 2 1 1 0 0.56500000000000000000000000000000000000 18.082308513986888632821663372451385778
338 229 1 1 0 0.45100000000000000000000000000000000000 17.137584733116814484229303259263188222
383 4 1 1 0 0.46000000000000000000000000000000000000 17.905968475700305168727333927010201059
383 68 0 0 0 0.035000000000000000000000000000000000000 19.032319146382076322108915292884537318
383 82 0 0 0 0.13000000000000000000000000000000000000 19.536373590472089303826104508668017850
339 8 1 1 0 0.36400000000000000000000000000000000000 18.010732497691904320092053067176457805
383 98 1 1 1 0.093000000000000000000000000000000000000 18.684446681676473110463258021807522336
341 16 1 1 1 0.049000000000000000000000000000000000000 17.324610608833020448129348828349351574
343 2 2 2 2 0.081000000000000000000000000000000000000 16.056759391103013265674970641454958458
