# m n cond status hhat cS w2 N0_rig
41 4 121267811910 OK 17.218570172786925350644500157813285237791747781399 15.855461135455479220803320342448606767744542134071 8 4
41 8 1334710146 OK 8.0150742335297830546797324480617466950381984958018 15.986906775346229492814730527804723840875404635532 8 5
41 10 1726507335 OK 32.170885443488224897528449285845866294042324914973 15.983748639475294237941355630020809270058611167868 8 3
41 12 527116913526 OK 6.0339550622944216230035571222155353165468389425431 15.947316612667932496817812695798931879636466084709 4 6
41 20 550755689190 OK 31.029137249486442277263019240107525905391407661949 16.075580123787736441159678776557219325203872760514 4 3
41 22 327796358043 OK 5.7301404644248486855407703041425323496403155402577 16.269267717235208047458208738790186565236165204908 8 6
41 24 720892888170 OK 13.419592468075597456822711394167392454964669745052 16.431162305388450836811801525526632739314419188371 8 4
41 26 270541357905 OK 19.478453830113506742051427331762202195891751175417 16.567544764390638151480747088992854653050987244619 4 3
41 28 2299963630146 OK 18.472554213823278521733644149340763085288715090931 16.680254072226880386507908187532121669885828058523 4 3
41 30 2613700836285 OK 6.9195368243745700043076763427910454427084690566362 16.769850346381125171027943739611295069009252807667 4 5
41 38 1782218805801 OK 8.0885457522545577603228279579344021091535766956577 16.805376633485834708590833915799558067303195436586 4 5
41 40 13224761970 OK 16.786719635863375403695566856404305711819508797825 16.535150032402887786686691264701167866157610486023 16 4
42 5 519979615995 OK 25.338122338904006288582782449027369784409529048358 16.002310081952810058116357604719285116431478529895 4 3
42 11 700493810709 OK 10.884600952680621579428026930683435721964855701045 16.070343425693986144505491109331802671855843058319 4 4
42 13 588516964035 OK 8.9570670360216966046961978447824875538774161061966 16.023884283669468715605446026086595933681329958370 4 5
42 19 324014422179 OK 24.951129603577936653427618193664754167605166083972 15.990233685909225786059704068572890656374698870074 4 3
